2009,05,15,JDSU,Sell,100
2009,05,26,JDSU,Buy,100
2009,06,02,JDSU,Sell,100
2009,07,09,JDSU,Buy,100
2009,07,16,JDSU,Sell,100
2009,05,28,KEY,Buy,100
2009,06,04,KEY,Sell,100
2009,06,04,KEY,Buy,100
2009,06,11,KEY,Sell,100
2009,07,22,KEY,Buy,100
2009,07,29,KEY,Sell,100
2008,11,25,LEN,Buy,100
2008,12,03,LEN,Sell,100
2008,01,30,LSI,Buy,100
2008,02,06,LSI,Sell,100
2008,02,13,LSI,Buy,100
2008,02,21,LSI,Sell,100
2008,02,20,LSI,Buy,100
2008,02,27,LSI,Sell,100
2008,03,11,LSI,Buy,100
2008,03,18,LSI,Sell,100
2008,03,18,LSI,Buy,100
2008,03,26,LSI,Sell,100
2008,03,20,LSI,Buy,100
2008,03,28,LSI,Sell,100
2008,04,01,LSI,Buy,100
2008,04,08,LSI,Sell,100
2008,04,18,LSI,Buy,100
2008,04,25,LSI,Sell,100
2008,04,24,LSI,Buy,100
2008,05,01,LSI,Sell,100
2009,07,16,LSI,Buy,100
2009,07,23,LSI,Sell,100
2009,08,12,LSI,Buy,100
2009,08,19,LSI,Sell,100
2009,08,18,LSI,Buy,100
2009,08,25,LSI,Sell,100
2009,08,21,LSI,Buy,100
2009,08,28,LSI,Sell,100
2009,09,03,LSI,Buy,100
2009,09,11,LSI,Sell,100
2009,10,29,LSI,Buy,100
2009,11,05,LSI,Sell,100
2009,11,04,LSI,Buy,100
2009,11,11,LSI,Sell,100
2009,03,12,MAS,Buy,100
2009,03,19,MAS,Sell,100
2008,07,31,MSI,Buy,100
2008,08,07,MSI,Sell,100
2009,09,11,MSI,Buy,100
2009,09,18,MSI,Sell,100
2009,09,30,MSI,Buy,100
2009,10,07,MSI,Sell,100
2009,10,07,MSI,Buy,100
2009,10,14,MSI,Sell,100
2009,10,29,MSI,Buy,100
2009,11,05,MSI,Sell,100
2009,12,08,MSI,Buy,100
2009,12,15,MSI,Sell,100
2009,12,11,MSI,Buy,100
2009,12,18,MSI,Sell,100
2008,08,07,MU,Buy,100
2008,08,14,MU,Sell,100
2008,09,12,MU,Buy,100
2008,09,19,MU,Sell,100
2009,04,17,MU,Buy,100
2009,04,24,MU,Sell,100
2009,04,22,MU,Buy,100
2009,04,29,MU,Sell,100
2009,05,04,MU,Buy,100
2009,05,11,MU,Sell,100
2009,05,29,MU,Buy,100
2009,06,05,MU,Sell,100
2009,06,04,MU,Buy,100
2009,06,11,MU,Sell,100
2009,06,24,MU,Buy,100
2009,07,01,MU,Sell,100
2009,07,09,MU,Buy,100
2009,07,16,MU,Sell,100
2009,03,04,NWL,Buy,100
2009,03,11,NWL,Sell,100
2009,03,12,NWL,Buy,100
2009,03,19,NWL,Sell,100
2009,03,10,NWSA,Buy,100
2009,03,17,NWSA,Sell,100
2009,04,13,RF,Buy,100
2009,04,20,RF,Sell,100
2009,04,15,RF,Buy,100
2009,04,22,RF,Sell,100
2009,05,04,RF,Buy,100
2009,05,11,RF,Sell,100
2009,05,18,RF,Buy,100
2009,05,26,RF,Sell,100
2009,08,13,RF,Buy,100
2009,08,20,RF,Sell,100
2009,10,29,RF,Buy,100
2009,11,05,RF,Sell,100
2009,11,17,RF,Buy,100
2009,11,24,RF,Sell,100
2009,05,04,S,Buy,100
2009,05,11,S,Sell,100
2009,05,14,S,Buy,100
2009,05,21,S,Sell,100
2009,06,04,S,Buy,100
2009,06,11,S,Sell,100
2009,06,11,S,Buy,100
2009,06,18,S,Sell,100
2009,04,02,SLM,Buy,100
2009,04,09,SLM,Sell,100
2009,04,29,SLM,Buy,100
2009,05,06,SLM,Sell,100
2009,05,01,SLM,Buy,100
2009,05,08,SLM,Sell,100
2008,11,13,STX,Buy,100
2008,11,20,STX,Sell,100
2008,12,08,STX,Buy,100
2008,12,15,STX,Sell,100
2008,12,12,STX,Buy,100
2008,12,19,STX,Sell,100
2009,01,02,STX,Buy,100
2009,01,09,STX,Sell,100
2009,03,23,STX,Buy,100
2009,03,30,STX,Sell,100
2008,10,28,TER,Buy,100
2008,11,04,TER,Sell,100
2008,10,31,TER,Buy,100
2008,11,07,TER,Sell,100
2009,01,05,TER,Buy,100
